Generic Name,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota,MAL_Brands
Allopurinol 100 mg Tablet,Musculo-skeletal System > Antigout Preparations,M04AA01-000-T10-02-XXX,Yes,LP,A/KK,i) Frequent and disabling attacks of gouty arthritis (2 or more attacks/year). ii) Clinical or radiographic signs of erosive gouty arthritis. iii) The presence of tophaceous deposits. iv) Urate nephropathy. v) Urate nephrolithiasis. vi) Impending cytotoxic chemotherapy or radiotherapy for lymphoma or leukaemia,None,Initial dose: 50-100 mg daily. Maintenance: 300-900mg daily (depending on renal function).,"Skin rash, maculopapular, pruritic, Stevens-Johnson Syndrome, peripheral neuritis, alopecia, GI upset, toxic epidermal necrolysis. Acute attack of gouty arthritis in early stages of therapy. Skin reactions (discontinue immediately at first sign of rash). Very rarely, granulomatous hepatitis. Occasionally; thrombocytopenia, agranulocytosis, & aplastic anaemia in patients with impaired renal function","Hypersensitivity to allopurinol, pregnancy, lactation, acute gout, asymptomatic hyperuricaemia","Oral anticoagulants, azathioprine, antidiabetics, mercaptopurine.Use only quarter of the usual dose of 6-mercaptopurine or azathioprine when given concurrently. Increases plasma half-life of adenine arabinoside. Effects decreased by uricosurics & large doses of salicylates","Renal/hepatic dysfunction, asymptomatic hyperuricaemia, hypersensitivity and pregnancy",FALSE,
Allopurinol 300 mg Tablet,Musculo-skeletal System > Antigout Preparations,M04AA01-000-T10-01XXX,Yes,APPL,A/KK,i) Frequent and disabling attacks of gouty arthritis (2 or more attacks/year). ii) Clinical or radiographic signs of erosive gouty arthritis. iii) The presence of tophaceous deposits. iv) Urate nephropathy. v) Urate nephrolithiasis. vi) Impending cytotoxic chemotherapy or radiotherapy for lymphoma or leukaemia,-,Initial dose: 50-100 mg daily. Maintenance: 300-900mg daily (depending on renal function).,"Skin rash, maculopapular, pruritic, Stevens-Johnson Syndrome, peripheral neuritis, alopecia, GI upset, toxic epidermal necrolysis. Acute attack of gouty arthritis in early stages of therapy. Skin reactions (discontinue immediately at first sign of rash). Very rarely, granulomatous hepatitis. Occasionally; thrombocytopenia, agranulocytosis, & aplastic anaemia in patients with impaired renal function","Hypersensitivity to allopurinol, pregnancy, lactation, acute gout, asymptomatic hyperuricaemia","Oral anticoagulants, azathioprine, antidiabetics, mercaptopurine.Use only quarter of the usual dose of 6-mercaptopurine or azathioprine when given concurrently. Increases plasma half-life of adenine arabinoside. Effects decreased by uricosurics & large doses of salicylates","Renal/hepatic dysfunction, asymptomatic hyperuricaemia, Hypersensitivity and pregnancy",FALSE,
Alprazolam 0.25mg Tablet,Nervous System > Psycholeptics,N05BA12-000-T10-01-XXX,No,LP,A/KK,Anxiety disorders,,"0.25 - 0.5 mg 3 times daily (elderly or delibitated 0.25 mg 2-3 times daily), increased if necessary to a total dose of 3 mg/day. Not recommended for children","Drowsiness, blurred vision, coordination disorder, gastrointestinal disturbance, agitation, lightheadedness, dry mouth, depression, headache, confusion, hypotension, syncope, tachycardia, seizures, respiratory depression, coma, constipation, diarrhoea, nausea, vomiting, insomnia, nasal congestion, rigidity, increased salivation, dermatitis, sedation","Hypersensitivity to benzodiazepines, acute narrow angle glaucoma, concomitant use of ketoconazole/ itraconazole, CNS depression","Ketoconazole, fluconazole, itraconazole, contraceptives; increased alprazolam serum concentrations and potential alprazolam toxicity. Omeprazole, erythromycin, clarithromycin, cimetidine; benzodiazepine toxicity. Sertraline; increased risk of psychomotor impairment and sedation. Fluoxetine; increased risk of alprazolam toxicity. Fluvoxamine; increased risk of CNS side effects. Ritonavir; increased plasma concentrations of alprazolam and enhanced alprazolam effects. Antihistamine/decongestant combinations, antipsychotic, ethanol, mirtazapine, phenothiazines, venlafaxine;increased risk of CNS depression, psychomotor impairment. Sedative/hypnotics, tricyclic antidepressants; CNS depression. Potentiates action of alcohol. Reduced concentration by 50% with cigarette smoking.","Avoid operating vehicles or machinery, abuse prone patient, pregnancy and breastfeeding, renal or hepatic dysfunction, elderly patients, obesity, untreated open angle glaucoma, impaired pulmonary function. Prolonged use can lead to dependence",FALSE,
Aminophylline 25mg/ml Injection,Respiratory System > Drugs for Obstructive Airway Diseases,R03DA05-000-P30-01-XXX,Yes,APPL,B,"Reversible airways obstruction, acute severe brochospasm",,Adult: Loading dose: 6 mg/kg (ideal body weight) or 250-500 mg (25 mg/ml) by slow inj or infusion over 20-30 min. Maintenance infusion dose: 0.5 mg/kg/hr. Max rate: 25 mg/min. Children: 6 months and over (if not previously on theophylline): Loading dose: 6mg/kg. Maintenance dose: 6 mth-9 yr: 1 mg/kg/hr and 10-16 yr: 0.8 mg/kg/hr. Dosing is individualised and according to product insert/protocol.,"Tachycardia, palpitations, nausea and other gastrointestinal disturbances, headache, CNS stimulation, insomnia, arrythmias, also allergy to ethylenediamine which can cause urticaria, erythema, and exfoliative dermatitis","Hypersensitivity to theophylline or derivatives, hypersensitivity to ethylenediamine","Azole antifungals, ciprofloxacin, clarithromycin, erythromycin : increased risk of theophylline toxicity. Caffeine : increased caffeine level. Halothane : increased risk of arrthmia","Should not be administered concurrently with ephedrine or with other xanthine medications. Use with caution paediatrics, elderly patients, smokers ,patients undergoing influenza immunisation, patient with reduced hepatic clearance.Patients with ischaemic heart disease, hypertension,hyperthyroidism, epilepsy, history of peptic ulcer disease, glaucoma, diabetis mellitus, severe hypoxemia, angina pectoris, acute mycardial injury or pre-existing arrythmias.",FALSE,
Amitriptyline HCl 25 mg Tablet,Nervous System > Psychoanaleptics,N06AA09-110-T10-01-XXX,Yes,LP,B,i) Depression ii) Nocturnal enuresis where organic pathology has been excluded,,i) Initial: 25mg 3 times a day in the evening Increase gradually in the late evening or at bedtime if necessary up to a maximum of 150mg per day Hospitalised patient: 100mg per day Increase gradually to 200-300mg per day ii) CHILD 6 YEARS AND UNDER: 10mg at bedtime CHILD OVER 6 YEARS Initial: 10mg at bedtime Increase gradually if necessary up to a maximum of 25mg at bedtime Not recommended for treatment of depression in children under 12 years of age. Dosing is individualised and according to product insert/ protocol.,"Dry mouth, constipation, nausea, vomiting, urinary retention, blurred vision, drowsiness, dizziness, tachycardia, increased appetite, confusion, seizures, myocardial infarction, stroke, agranulocytosis, thrombocytopenia, rash and hypersensitivity reactions, blood sugar changes, endocrine side effects, impotence, menstrual irregularities, bone marrow depression","Hypersensitivity to drug/class. Immediate recovery phase after myocardial infarction, heart block, mania. MAOI use within the last 14 days","Barbiturate, phenytoin, carbamazepine, cimetidine, amphetamines, antiarrhythmics, class Ia and III, anticholinergics, antihistamines, beta 2 agonists, benzodiazepines, systemic carbonic anhydrase inhibitors, central alpha 2 agonists, cholinergic agents, clozapine, intranasal decongestants, flumazenil, halothane, lithium, MAOIs, methylphenidate, metoclopramide, muscle relaxants, nitrates, opiates, antipsychotics, phenytoin, protease inhibitors, sedatives/hypnotics, SSRIs, indirect/mixed sympathomimetics, cimetidine, fluoxetine, clonidine","Cardiac disease, hyperthyroidism, impaired hepatic and renal function, urinary retention, history of seizures, glaucoma, suicide risk, pregnancy, lactation, elderly, phaeochromocytoma, history of mania, phychoses, angle-closure glaucoma, concurrent anticonvulsive therapy, anaesthesia",FALSE,
Amlodipine 10 mg and Valsartan 160 mg Tablet,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09DB01-935-T10-03-XXX,No,LP,A/KK,Essential hypertension in patients whose blood pressure is not adequately controlled by monotherapy,10 PT /KK (KUOTA),"Doses range from amlodipine besylate 5 mg/valsartan 160 mg to amlodipine besylate 10 mg/valsartan 320 mg ORALLY once daily, with dose titration occurring every 1 to 2 weeks if necessary. MAX amlodipine besylate 10 mg/valsartan 320 mg","Nasopharyngitis, flu, headache, oedema, peripheral oedema, fatigue, flushing, asthenia, vertigo, tachycardia, palpitations, orthostatic hypotension, cough, pharyngolaryngeal pain, gastrointestinal disturbances, rash, erythema, joint swelling, back pain, arthralgia. Rare: Hypersensitivity. Amlodipine: Gastritis, gingival hyperplasia, gynaecomastia, leucopaenia, myalgia, pancreatitis, hepatitis, thrombocytopaenia, vasculitis. Valsartan: Neutropaenia, increases in creatinine, serum potassium and BUN NPRA Safety Alert 1. 28 May 2025 (ARBs) Intestinal Angioedema","Pregnancy and lactation, hypersensitivity to amlodipine, valsartan, or any component of the product","Potassium supplement. Potassium-sparing diuretic, potassium containing salt substitutes or other drugs that may increase potassium level","Risk of hypotension in sodium or volume depleted patient, beta blocker withdrawal should be gradual. Severe renal impairment, dialysis. Unilateral/ bilateral renal stenosis, stenosis to a solitary kidney, after recent kidney transplantation, hepatic impairment, biliary obstructive disorders. Aortic or mitral stenosis, obstructive hyperthrophic cardiomyopathy NPRA Safety Alert 1. 28 May 2025 (ARBs) Intestinal Angioedema",TRUE,
Amlodipine 10 mg Tablet,Cardiovascular System > Calcium Channel Blockers,C08CA01-000-T10-02-XXX,Yes,APPL,B,Hypertension,,5 mg once daily. Max: 10 mg once daily,"Headache, dizziness, gingival hyperplasia, tachycardia, peripheral oedema","Hypersensitivity to amlodipine, symptomatic hypotension, persistent dermatologic reactions, congestive heart failure","Cyclosporin, sildenafil, vardenafil, CYP3A4 inducers, CYP3A4 inducers(fluconazole, itraconazole, ketoconazole)","Angina (exacerbation) during initiation of treatment; with dosage increases; during beta-blocker withdrawal; taper slowly prior to calcium channel blocker therapy. Aortic stenosis (reduced myocardial oxygenation with drug-induced hypotension), congestive heart failure, pregnancy, hepatic impairment, lactation.",FALSE,
Amlodipine 5 mg Tablet,Cardiovascular System > Calcium Channel Blockers,C08CA01-000-T10-01-XXX,Yes,APPL,B,Hypertension,,5 mg once daily. Max: 10 mg once daily,"Headache, dizziness, gingival hyperplasia, tachycardia, peripheral oedema","Hypersensitivity to amlodipine, symptomatic hypotension, persistent dermatologic reactions, congestive heart failure","Cyclosporin, sildenafil, vardenafil, CYP3A4 inducers, CYP3A4 inducers(fluconazole, itraconazole, ketoconazole).","Angina (exacerbation) during initiation of treatment; with dosage increases; during beta-blocker withdrawal; taper slowly prior to calcium channel blocker therapy. Aortic stenosis (reduced myocardial oxygenation with drug-induced hypotension), congestive heart failure, pregnancy, hepatic impairment, lactation.",FALSE,
Amoxicillin (Amoxycillin) 250mg/5mL Oral Solution,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01CA04-012-L80-01-XXX,Yes,LP,B,Infections caused by susceptible strains of gram positive and gram negative organisms,,CHILD less than 10 years: 125 - 250 mg 8 hourly. CHILD less than 20 kg: 20 - 40 mg/kg/day in 3 - 4 divided doses,"Diarrhoea, indigestion, urticarial or erythematous rash, hepatitis, cholestatic jaundice",Hypersensitivity to penicillins,"Aminoglycosides, oral contraceptives","Hypersensitivity to cephalosporins, renal or hepatic impairment, superinfection NPRA Safety Alert 1. 29 May 2024 Risk of Aseptic Meningitis",FALSE,
Amoxicillin (Amoxycillin) 500mg & Clavulanate 125mg Tablet,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01CR02-961-T10-02-XXX,Yes,APPL,A/KK,"Infections due to beta-lactamase producing strain where amoxicillin alone is not appropriate. Respiratory tract, skin, soft tissue, GUT infection, septicaemia, peritonitis, post-operative infection & osteomyelitis",,ADULT & CHILD more than 12 years: Mild to moderate infections: 625 mg twice daily.,"Diarrhoea, indigestion, nausea, vomiting, candidiasis, rash, pseudomembranous colitis, hepatitis, cholestatic jaundice, crystalluria, erythema multiforme, Stevens-Johnson syndrome, toxic epidermal necrolysis, reversible leucopaenia, thrombocytopaenia, haemolytic anaemia, CNS disturbances","Hypersensitivity to penicillins, possible cross sensitivity with other β-lactams. History of penicillin-associated cholestatic jaundice/hepatic dysfunction","Aminoglycosides, anticoagulants, probenecid, allopurinol, oral contraceptive.",Renal or hepatic impairment. Patients on anticoagulation therapy. Prolonged use. Pregnancy. NPRA Safety Alert 1. 29 May 2024 Risk of Aseptic Meningitis,FALSE,
Amoxicillin (Amoxycillin) 500mg Capsule,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01CA04-012-C10-02-XXX,Yes,LP,B,Infections caused by susceptible strains of gram positive and gram negative organisms,,ADULT: 250 - 500 mg 3 times daily. CHILD: 20 - 40 mg/kg/day in divided doses 8 hourly,"Diarrhoea, indigestion, urticarial or erythematous rash, hepatitis, cholestatic jaundice",Hypersensitivity to penicillins,"Aminoglycosides, oral contraceptives","Hypersensitivity to cephalosporins, renal or hepatic impairment, superinfection NPRA Safety Alert 1. 29 May 2024 Risk of Aseptic Meningitis",FALSE,
Anti Rhd Immunoglobulin Injection,Antiinfectives for Systemic Use > Immune Sera and Immunoglobulins,J06BB01-000-P30-01-XXX,Yes,APPL,B,"Prevention of Rh(D) sensitisation to Rh(D)-negative woman: i) Pregnancy/delivery of Rh(D)-positive infant ii) Abortion/threatened abortion, ectopic pregnancy or hydatidiform mole iii) Transplacental haemorrhage resulting from antepartum haemorrhage, amniocentesis, chorionic biopsy or obstetric manipulative procedures e.g. external version or abdominal trauma",-,"i) Antenatal prophylaxis: According to general recommendations, currently administered doses range from 50 – 330 micrograms or 250 - 1650 IU. For specific details, please refer to product's package insert. ii) Postnatal prophylaxis: According to general recommendations, currently administered doses range from 100 – 300 micrograms or 500 – 1500 IU. For specific details, please refer to product's package insert.",Pain at injection site. Slight temperature elevation,Rh(D)-positive mother,Live virus vaccines,Never administer to infant. IgA deficiency. Hypersensitivity to thiomersal or human Ig,FALSE,
Aqueous Cream,Dermatologicals > Emollients and Protectives,D02AX00-000-G10-01-XXX,Yes,APPL,C+,As an emollient for dry skin. Can be used as soap substitute for bathing.,,As a soap or apply to the skin as an emollient cream,Not known,Not known,Not known,It should not be used before phototherapy or in phototesting procedures,FALSE,
Atenolol 100 mg Tablet,Cardiovascular System > Beta Blocking Agents,C07AB03-000-T10-02-XXX,Yes,APPL,B,i) Hypertension ii) Arrhythmias iii) Angina pectoris iii) Myocardial infarction,,"i), ii) & iii) 50 - 100 mg daily iv) Dosing is individualised and according to product insert / protocol.","Chronic heart failure, AV block, bradycardia, bronchospasm, dizziness, vertigo, nausea, fatigue, diarrhoea","Hypersensitivity to atenolol products, bradycardia, 2nd and 3rd degree AV block overt cardiac failure, cardiogenic shock, metabolic acidosis, severe peripheral circulatory disturbances, sick sinus syndrome","Clonidine, catecholamine-depleting agents, beta-blockers","Avoid abrupt withdrawal; gradual withdrawal over a period of 1 to 2 weeks is recommended. Bronchospastic disease, congestive heart failure, diabetes mellitus, hyperthyroidism/thyrotoxicosis. Patients receiving clonidine - discontinue atenolol several days prior to withdrawal of clonidine. Peripheral vascular and renal disease",FALSE,
Atorvastatin 40 mg Tablet,Cardiovascular System > Lipid Modifying Agents,C10AA05-000-T10-01-XXX,Yes,Government Contract,B,i) Hypercholesterolaemia ii) Prevention of cardiovascular disease,,i) & ii) 10 mg once daily. Maximum: 80 mg daily,"Gastrointestinal disturbances, headache, myalgia, asthenia, insomnia, angioneurotic oedema, muscle cramps, myostitis, myopathy, cholestatic jaundice, peripheral neuropathy, pruritus. Cognitive impairment (e.g. memory loss, forgetfulness, amnesia, memory impairment, confusion), increase in HbA1c and fasting blood glucose. NPRA Safety Alert 1. 27 May 2025 Myasthenia Gravis / Ocular Myasthenia","Liver disease, hypersensitivity to atorvastatin, pregnancy or lactation","Risk of myopathy increased with concurrent administration of cyclosporin, fibric acid derivatives, erythromycin, niacin or azole antifungals. Decreased atorvastatin plasma concentration with oral antacid suspensions containing magnesium and aluminium hydroxides and colestipol NPRA Safety Alert 1. 19 Feb 2024 Interaction with Ticagrelor Leading to Increased Risk of Rhabdomyolysis","Heavy alcohol use, history of liver disease. Discontinue therapy if serum transaminase levels rise to 3 times upper limit of normal and are persistent. This class of drug has been known to cause myopathy and renal failure due to rhabdomyolysis. Concomitant administration of fibrates, niacin, cyclosporin or erythromycin may increase the risk of myopathy NPRA Safety Alert 1. 18 Jul 2023 Risk of Inducing or Aggravating Myasthenia Gravis 2. 27 May 2025 Myasthenia Gravis / Ocular Myasthenia",FALSE,
